"Anatomical Structures, Cell Types and Biomarkers Table for Lymph Vasculature ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Dhruv Singhal; Maxim Itkin; Avinash Boppana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-6300-1647; 0000-0003-1361-7109; 0000-0003-0834-8274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Robin Wang; Valeria Bustos; Griffin Weber; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0001-7369-0602; 0000-0001-6682-4246; 0000-0002-2597-881X; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM622.PDVS.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,15-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/10,AS/10/LABEL,AS/10/ID,CT/1,CT/1/LABEL,CT/1/ID,BGene/1,BGene/1/LABEL,BGene/1/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,FTU/1/NOTES,REF/1,REF/1/ID,REF/1/NOTES
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,humeral lymph node,Set of humeral lymph nodes,FMA:71743,brachial lymph trunk,Brachial lymphatic vessel,FMA:234924,superior ulnar lymph node,,,anterior interosseous lymphatic channel,,,palmar arch lymphatic channel,,,thumb medial lymphatic channel #3,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,humeral lymph node,Set of humeral lymph nodes,FMA:71743,brachial lymph trunk,Brachial lymphatic vessel,FMA:234924,superior ulnar lymph node,,,deep ulnar lymphatic channel,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,humeral lymph node,Set of humeral lymph nodes,FMA:71743,brachial lymph trunk,Brachial lymphatic vessel,FMA:234924,superior ulnar lymph node,,,deep ulnar lymphatic channel,,,little finger lateral lymphatic channel #2,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,humeral lymph node,Set of humeral lymph nodes,FMA:71743,brachial lymph trunk,Brachial lymphatic vessel,FMA:234924,superior ulnar lymph node,,,deep ulnar lymphatic channel,,,little finger medial lymphatic channel #2,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,humeral lymph node,Set of humeral lymph nodes,FMA:71743,brachial lymph trunk,Brachial lymphatic vessel,FMA:234924,superior ulnar lymph node,,,deep ulnar lymphatic channel,,,palmar arch lymphatic channel #3,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,humeral lymph node,Set of humeral lymph nodes,FMA:71743,brachial lymph trunk,Brachial lymphatic vessel,FMA:234924,superior ulnar lymph node,,,deep ulnar lymphatic channel,,,ring finger medial lymphatic channel #2,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,humeral lymph node,Set of humeral lymph nodes,FMA:71743,brachial lymph trunk,Brachial lymphatic vessel,FMA:234924,superior ulnar lymph node,,,posterior interosseous lymphatic channel,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,humeral lymph node,Set of humeral lymph nodes,FMA:71743,brachial lymph trunk,Brachial lymphatic vessel,FMA:234924,superior ulnar lymph node,,,posterior interosseous lymphatic channel,,,palmar arch lymphatic channel #2,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,medial lymphatic pathway of upper arm,,,,,,,,,,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,medial lymphatic pathway of upper arm,,,epitrochlear lymph node,,,,,,,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,medial lymphatic pathway of upper arm,,,epitrochlear lymph node,,,superficial ulnar lymphatic channel,,,,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,medial lymphatic pathway of upper arm,,,epitrochlear lymph node,,,superficial ulnar lymphatic channel,,,little finger lateral lymphatic channel,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,medial lymphatic pathway of upper arm,,,epitrochlear lymph node,,,superficial ulnar lymphatic channel,,,little finger medial lymphatic channel,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,medial lymphatic pathway of upper arm,,,epitrochlear lymph node,,,superficial ulnar lymphatic channel,,,middle finger medial lymphatic channel,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,medial lymphatic pathway of upper arm,,,epitrochlear lymph node,,,superficial ulnar lymphatic channel,,,ring finger lateral lymphatic channel,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,central axillary lymph node,Central axillary lymph node group,FMA:71749,medial lymphatic pathway of upper arm,,,epitrochlear lymph node,,,superficial ulnar lymphatic channel,,,ring finger medial lymphatic channel,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,retropectoral lymph vessel,,,,,,,,,,,,,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,subclavicular lymph node,,,,,,,,,,,,,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,subclavicular lymph node,,,lateral lymphatic pathway of upper arm #2,,,,,,,,,,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,supraclavicular lymph trunk,Supraclavicular lymphatic vessel,FMA:234912,,,,,,,,,,,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,supraclavicular lymph trunk,Supraclavicular lymphatic vessel,FMA:234912,supraclavicular lymph node,supraclavicular lymph node,UBERON:0035279,,,,,,,,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,supraclavicular lymph trunk,Supraclavicular lymphatic vessel,FMA:234912,supraclavicular lymph node,supraclavicular lymph node,UBERON:0035279,lateral lymphatic pathway of upper arm,,,,,,,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,supraclavicular lymph trunk,Supraclavicular lymphatic vessel,FMA:234912,supraclavicular lymph node,supraclavicular lymph node,UBERON:0035279,lateral lymphatic pathway of upper arm,,,radial lymphatic channel,,,,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,supraclavicular lymph trunk,Supraclavicular lymphatic vessel,FMA:234912,supraclavicular lymph node,supraclavicular lymph node,UBERON:0035279,lateral lymphatic pathway of upper arm,,,radial lymphatic channel,,,index finger lateral lymphatic channel,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,supraclavicular lymph trunk,Supraclavicular lymphatic vessel,FMA:234912,supraclavicular lymph node,supraclavicular lymph node,UBERON:0035279,lateral lymphatic pathway of upper arm,,,radial lymphatic channel,,,index finger medial lymphatic channel,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,supraclavicular lymph trunk,Supraclavicular lymphatic vessel,FMA:234912,supraclavicular lymph node,supraclavicular lymph node,UBERON:0035279,lateral lymphatic pathway of upper arm,,,radial lymphatic channel,,,middle finger lateral lymphatic channel,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,supraclavicular lymph trunk,Supraclavicular lymphatic vessel,FMA:234912,supraclavicular lymph node,supraclavicular lymph node,UBERON:0035279,lateral lymphatic pathway of upper arm,,,radial lymphatic channel,,,thumb lateral lymphatic channel,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,supraclavicular lymph trunk,Supraclavicular lymphatic vessel,FMA:234912,supraclavicular lymph node,supraclavicular lymph node,UBERON:0035279,lateral lymphatic pathway of upper arm,,,radial lymphatic channel,,,thumb medial lymphatic channel,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,subclavian lymph trunk,Subclavian lymphatic trunk,FMA:12252,transpectoral lymph vessel,,,,,,,,,,,,,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
lymph vasculature,lymph vasculature,UBERON:0004536,thoracic duct,thoracic duct,UBERON:0001631,transverse cervical lymph node,,,,,,,,,,,,,,,,,,,,,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,VEGFR-3,FLT4,HGNC:3767,,,,,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,For AS
